ID,Parking,Apartment_renovation,Windows,Quantity_of_rooms,Distance_min,Area_sm,Cost_per_month,Is_included_utility_charges,Lease_term,Elevator_total,With_children,With_pets,WashingRoom_total,Loggia_and_Balcony
274548003,наземная,Косметический,На улицу,2,6.0,60.0,90000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,
229808794,наземная,Дизайнерский,На улицу,1,9.0,30.0,95000.0,1,Срок аренды - Длительный,4.0,,,1.0,
274903280,,Евроремонт,,3,6.0,80.0,100000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,,
271439388,наземная,Евроремонт,Во двор,3,5.0,68.0,100000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,1.0,1.0
273474991,открытая,Евроремонт,На улицу,2,10.0,55.0,105000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,1.0
274135582,наземная,Евроремонт,На улицу,2,2.0,55.0,110000.0,0,,1.0,1.0,1.0,1.0,
274880892,,Дизайнерский,На улицу и двор,3,9.0,103.0,120000.0,1,Срок аренды - Длительный,,1.0,1.0,1.0,
271716464,,Евроремонт,Во двор,3,10.0,80.0,120000.0,0,,1.0,,,,1.0
271249218,подземная,Дизайнерский,Во двор,2,5.0,65.0,130000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,1.0,
274012210,открытая,Евроремонт,Во двор,2,5.0,98.0,135000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,1.0,
269317588,,Дизайнерский,На улицу и двор,2,9.0,40.0,135000.0,1,Срок аренды - Длительный,4.0,,,2.0,
273650910,,Евроремонт,На улицу,2,9.0,89.4,135000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,1.0,
273823802,,Дизайнерский,На улицу и двор,3,6.0,90.0,145000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,
272821193,наземная,Евроремонт,На улицу и двор,3,5.0,90.0,150000.0,0,,1.0,1.0,1.0,1.0,
274103646,открытая,Косметический,,3,6.0,100.0,150000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,2.0,
236632140,,Дизайнерский,Во двор,2,9.0,43.3,150000.0,1,Срок аренды - Длительный,4.0,,,2.0,
274478078,наземная,Евроремонт,На улицу и двор,3,8.0,110.0,160000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,1.0,1.0
272710931,,Евроремонт,Во двор,2,7.0,120.0,165000.0,1,Срок аренды - Длительный,,,,1.0,1.0
272047599,открытая,Евроремонт,Во двор,3,6.0,117.0,170000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,1.0,
273235893,подземная,Евроремонт,Во двор,3,10.0,120.0,180000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,2.0,1.0
271487126,,Евроремонт,Во двор,4,10.0,96.0,180000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,2.0,1.0
236952590,открытая,Косметический,Во двор,2,8.0,120.0,190000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,2.0,
267882068,,Дизайнерский,На улицу и двор,3,9.0,120.0,195000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,2.0,2.0
271577440,подземная,Дизайнерский,На улицу,2,10.0,75.0,200000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,1.0,
273795577,,Дизайнерский,Во двор,3,5.0,99.0,200000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,2.0,1.0
271764581,наземная,Дизайнерский,Во двор,4,10.0,130.0,220000.0,1,Срок аренды - Длительный,1.0,1.0,0.0,2.0,
274744370,открытая,Дизайнерский,На улицу и двор,3,,120.0,230000.0,0,,2.0,1.0,1.0,2.0,1.0
274442273,подземная,Евроремонт,,3,7.0,105.0,250000.0,0,,1.0,,,2.0,
273689040,наземная,Евроремонт,Во двор,3,9.0,115.0,250000.0,1,Срок аренды - Длительный,2.0,1.0,1.0,2.0,2.0
274455073,наземная,Евроремонт,На улицу и двор,5,7.0,165.0,250000.0,0,,1.0,1.0,1.0,3.0,
272262503,подземная,Дизайнерский,На улицу и двор,1,,65.0,270000.0,0,,1.0,1.0,1.0,1.0,
267127816,подземная,Евроремонт,На улицу,2,20.0,76.0,270000.0,1,Срок аренды - Длительный,2.0,,,2.0,
274999073,наземная,Евроремонт,На улицу,3,4.0,126.0,300000.0,0,,1.0,1.0,1.0,2.0,1.0
273894772,подземная,Евроремонт,На улицу и двор,3,10.0,124.0,300000.0,0,,1.0,,,2.0,
274085397,подземная,Дизайнерский,На улицу и двор,2,5.0,130.0,330000.0,1,Срок аренды - Длительный,1.0,,,2.0,
269357269,подземная,Евроремонт,На улицу и двор,4,5.0,190.0,330000.0,0,,1.0,1.0,0.0,2.0,
273906122,подземная,Дизайнерский,Во двор,4,4.0,178.0,350000.0,1,Срок аренды - Длительный,2.0,1.0,0.0,2.0,1.0
241709509,открытая,Евроремонт,На улицу,4,15.0,135.0,350000.0,1,Срок аренды - Длительный,1.0,,,2.0,1.0
267357413,подземная,Дизайнерский,На улицу,4,,130.0,350000.0,1,Срок аренды - Длительный,,,,,
268872145,,Евроремонт,На улицу и двор,4,10.0,212.0,350000.0,0,,1.0,1.0,1.0,3.0,
272718014,,Евроремонт,,4,,178.0,350000.0,0,,1.0,,,4.0,1.0
274095176,,Дизайнерский,На улицу,4,5.0,201.0,360000.0,1,Срок аренды - Длительный,1.0,1.0,1.0,3.0,
